facility_ID,subtype_code,lat,lon,equipment_groups,ScreenFreq,OGI_RS,Scenario1_RS,Scenario2_RS,Scenario3_RS,Scenario4_RS,AltFemp_Scenario1_RS,AltFemp_Scenario2_RS,AltFemp_Scenario3_RS,AltFemp_Scenario4_RS,MGLScenario1_RS,MGLScenario2_RS,MGLScenario3_RS,MGLScenario4_RS,OperatingStatus
49513,351,50.0002,-112.423,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6081,311,50.000476,-111.701178,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49178,361,50.0009,-112.428,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49231,351,50.0014,-112.417,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49519,351,50.00223,-112.475982,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51608,322,50.002707,-111.695724,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51629,501,50.002707,-111.695724,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49465,351,50.0037,-112.391,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41491,361,50.003737,-112.872607,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51317,501,50.003818,-111.815275,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6458,311,50.004494,-110.165645,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
54012,601,50.004721,-110.166619,3,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41498,621,50.005495,-112.512233,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41476,351,50.0067,-112.631,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
40759,621,50.006974,-114.140358,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49363,351,50.0071,-112.448,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49030,351,50.0072,-112.419,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
40737,401,50.007257,-114.145826,5,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
