subtype_code,dist_type,dist_scale,dist_sigma
311,lognorm,-3.695661244,1.69655991
321,lognorm,-3.695661244,1.69655991
322,lognorm,-3.695661244,1.69655991
342,lognorm,-3.695661244,1.69655991
344,lognorm,-3.695661244,1.69655991
351,lognorm,-3.695661244,1.69655991
361,lognorm,-3.695661244,1.69655991
362,lognorm,-3.695661244,1.69655991
401,lognorm,-4.456078973,1.373441082
403,lognorm,-4.456078973,1.373441082
405,lognorm,-4.456078973,1.373441082
407,lognorm,-4.456078973,1.373441082
501,lognorm,-5.095371529,2.036292757
503,lognorm,-5.095371529,2.036292757
601,lognorm,-4.21852347,1.444985244
621,lognorm,-3.435256701,1.711517853
671,lognorm,-4.21852347,1.444985244
